No.,Project ,Part Number,Part Description
301,GRG GSB,208010006,Power Supply(AD321M36-4M1320W)
302,GRG GSB,208010022,Power Supply(Detla/DPS-60PBAA00)
303,GRG GSB,208010040,AC box/YT-AC BOX-001
304,GRG GSB,208010056,Power Box(AD901M36-4M1A)
305,GRG GSB,208010063,Power Supply GPAD431M36-1E
306,GRG GSB,208010187,POWER SUPPLY (FSP300-70PFL)
307,GRG GSB,208010238,POWER SUPPLY (GW-EP500WV36AA V02)
308,GRG GSB,208010276,POWER SUPPLY (PSU-3203)
309,GRG GSB,208030001,C/R External Capacitor C/REP-001
310,GRG GSB,210010005,Audio Amplifier AAP-002
311,GRG GSB,210010183,Speakers M18
312,GRG GSB,211010193,USB camera Logitech C920
313,GRG GSB,211010195,USB WDR camera DV-U3303WCP205
314,GRG GSB,211010253,camera(LHT-820CM301 7B/VTM /Linhuitong)
315,GRG GSB,211010408,GDZS-DC004-EJVL dual camera
316,GRG GSB,211030190,HUMAN APPROACH SENSOR TAD-9128
317,GRG GSB,213050182,Coil Winding Controller (Phone Cable)
318,GRG GSB,214010190,IPC-013
319,GRG GSB,214010190018,IPC-013(i3-3220 4GM 1THD)
320,GRG GSB,214010191,IPC-014（i3 3.3G 4GM 500*2GHD）
321,GRG GSB,214010191001,IPC-014(i3/3.3G/4GM/2* 1T HD)
322,GRG GSB,214010191002,IPC-014(i3/3.3G/4GM/2* 1T HD)
323,GRG GSB,214010191012,IPC-014 (I5-3550/4GM/2-1THD/IEI)
324,GRG GSB,214010191022,IPC-014(I5-3550 4GM 1T HD/IEI)
325,GRG GSB,214011217,IPC-014（i3/3.3G/4GM /No HDD）
326,GRG GSB,214020005014,Harddisk (Seagate/ST3250312AS/500G)
327,GRG GSB,214020209,hard disk/ST500DM009/seagate
328,GRG GSB,214020210,Seagate ST1000DM010
329,GRG GSB,214030022,RAM(4GBDDR31333Kingstone)
330,GRG GSB,214030182,Kingston 4GB DDR3 1600MHz
331,GRG GSB,214040067,IPC MAIN BOARD(GDYT-IMB-H61 2B)
332,GRG GSB,214040185,IEI embedded PC board KINO-CV-D25501
333,GRG GSB,214040185002,KINO-CV-D25501(MB+500G HDD+4GM+cable)
334,GRG GSB,214040209,PC(GRG-S7015-02(4GM/128GSSD/VGA))
335,GRG GSB,214040210,GRG-S7018(4GM/128 G/mSATA/with cable)
336,GRG GSB,214050012,CPU(Core i5 3550 3.3G Intel)
337,GRG GSB,214050013,CPU（Core i3 3220 3.3ntel）
338,GRG GSB,214060187,Keyboard DS-2120K
339,GRG GSB,214090182,Graphic Card
340,GRG GSB,214100011,DVDROM(iHAS124)
341,GRG GSB,214100012,DVD ROM (iHAS324)
342,GRG GSB,214110364,IPC-014 (i5/ 4GM/ no HDD)
343,GRG GSB,215020006,21.5 LCD(Bigtide/HL2102)
344,GRG GSB,215020194,LCD Module/HL1558-NO1
345,GRG GSB,215030189,21.5 anti-peep touch screen
346,GRG GSB,215030194,10.4 inch touch LCD HL1002
347,GRG GSB,215030199001,15-inch touch disply/ X-AU15T2525LE02
348,GRG GSB,215030222,10-inch TOUCH SCREEN (MON-1001)
349,GRG GSB,215030237,TOUCH SCREEN#OTL193-RPC03(F)-UCD-1194
350,GRG GSB,215030300,TOUCH SCREEN (MON-1501/NCB01)
351,GRG GSB,215040005,15 Touch Screen(TSC-004TL6B15D2WS)
352,GRG GSB,215050185,LCD HL1513N(AUO LED)
353,GRG GSB,215050247,Touch screen/MON-1501(NCB03)
354,GRG GSB,216010006,Mechanical lock (LAGARD/3390+1777)
355,GRG GSB,216010006001,LAGARD LOCK 3390 and 1777
356,GRG GSB,216020190,TAIZHOU LOCK(8K-2)
357,GRG GSB,301010116,CRM9250 Upper Board
358,GRG GSB,301010117,CRM9250 Main Board
359,GRG GSB,301010131001,USB TRP Control Board
360,GRG GSB,301010133,Recycle Cassette Control Board
361,GRG GSB,301010144001,TRP-005 control board_package material
362,GRG GSB,301010145,ODS control board
363,GRG GSB,301010146,CRM9250 AC control board
364,GRG GSB,301010176,THICKNESS SENSOR BOARD
365,GRG GSB,301010232001,Paper Low Level Sensor 401
366,GRG GSB,301010337001,IO EXPANDING BOARD (12 PORTS)
367,GRG GSB,301010339,NV power board
368,GRG GSB,301010348001,VTM Voice Amplifier Board
369,GRG GSB,301010425,Sankyo Card Reader Control Board
370,GRG GSB,301010700,Recycle Cassette Control Board
371,GRG GSB,301010830003,IO SIGNAL CONTROL BOARD
372,GRG GSB,301010904,TRP-006R RECEIPT PRINTER CONTROL BOARD
373,GRG GSB,301011536,IC CHIP MODULE(S57A595A/NIDEC SANKYO)
374,GRG GSB,401010888,RC-XS1 connector (male)
375,GRG GSB,401010890,AC connector (female)
376,GRG GSB,401010892,RC1 connector (female)
377,GRG GSB,401010894,RC2 connector (female)
378,GRG GSB,401010896,RC3 connector (female)
379,GRG GSB,401010898,RC4 connector (female)
380,GRG GSB,401010900,AC-XS1 connector (male)
381,GRG GSB,401013175,VGA cable
382,GRG GSB,401014790,H22NL core USB signal cable
383,GRG GSB,401027879,H68NL-829 UPS INPUT EXTENSION CABLE
384,GRG GSB,401027880,H68NL-829 UPS OUTPUT EXTENSION CABLE
385,GRG GSB,401027882,H68NL-829 LOWER FAN CABLE
386,GRG GSB,401044864,H68NL-829 UPS SERIAL EXTENSION CABLE
387,GRG GSB,401045259,QR CODE SCANNER USB CABLE
388,GRG GSB,401045275,RF reader signal cable
389,GRG GSB,402020009,NF cable assembly
390,GRG GSB,402020022,Motor cable
391,GRG GSB,402020038,MF08(motor with Cable)
392,GRG GSB,501010005,USB HUB(MOXA407)
393,GRG GSB,501010429002,Anti-damage reader assembly
394,GRG GSB,501010945,Sound Pick-up(MIC-001)
395,GRG GSB,502010115,ADDA BIG FAN ASSEMBLY (WITH CABLE)
396,GRG GSB,502010210,Link transportation（front service）
397,GRG GSB,502010211,Note Feeder Slot
398,GRG GSB,502010214009,Recycling cassette (English spare part)
399,GRG GSB,"502010215003,",CRM9250 ACCassette(English)
400,GRG GSB,502010216,SHUTTER ASSY (CRM9250)
401,GRG GSB,"502010216001,",CRM9250 recycling shaft assembly
402,GRG GSB,502010217,Note feeder Lower
403,GRG GSB,502010218001,Note Escrow
404,GRG GSB,"502010218003,",CR9250 NE temporary storage assembly
405,GRG GSB,502010221,Note Feeder Transport
406,GRG GSB,502010222001,Cash Transportation (Rear service)
407,GRG GSB,502010222002,Cash Transportation (Rear service)
408,GRG GSB,502010223,CT MODULE (CRM9250/RS/ENGLISH) (Front service)
409,GRG GSB,"502010223001,",CT MODULE (CRM9250/RS/ENGLISH) (Front service)
410,GRG GSB,"502010223002,",Cash Transportation (Front service)
411,GRG GSB,502010227002,CRM9250(FS/EN/OD S/4 NRC/UNV/WITH LOCK) Lower unit
412,GRG GSB,502010233,NE tri-section module
413,GRG GSB,502010237002,CRM9250(FS/EN/OD S/4 NRC/UNV/WITH LOCK) Upper unit
414,GRG GSB,502010237004,CRM9250(FS/EN/OD S/4 NRC/UNV/WITH LOCK) Upper unit
415,GRG GSB,502010240,Link transportation (rear service)
416,GRG GSB,502010242,Note-Reject Channel(CRM9250 NF)
417,GRG GSB,502010243,LT pusher plate (left)
418,GRG GSB,502010244,LT pusher plate (right)
419,GRG GSB,502010284,Note Feeder Upper Module(CRM9250)
420,GRG GSB,502010292002,Note Validator Module(2nd generation)
421,GRG GSB,502010742,Step Motor Assy(CRM9250/RC2)
422,GRG GSB,502010743,Step Motor Assy(CRM9250/RC3)
423,GRG GSB,502010744,Step Motor Assy(CRM9250/RC4)
424,GRG GSB,502010745,MF06 (shutter motor with Cable)
425,GRG GSB,502010789,Solenoid_DLS-PF01(Z M)
426,GRG GSB,502010790,MOTOR PF02
427,GRG GSB,502010791,LPS TOMOR PE02
428,GRG GSB,502010792,solenoid(CRM9250 NT/AC assy/with cable)
429,GRG GSB,502010793,CRM9250 CT solenoid of AC1 assy.(with cable)
430,GRG GSB,502010794,CRM9250 CT solenoid of RC1 assy.(with cable)
431,GRG GSB,502010795,CRM9250 CT solenoid of RC2 assy.(with cable)
432,GRG GSB,502010796,CRM9250 CT solenoid of RC3 assy.(with cable)
433,GRG GSB,502010798,MPS TOMOR PE01
434,GRG GSB,502010799,LPS MOTOR PE03
435,GRG GSB,502010802,MF01 stepper motor own cable
436,GRG GSB,502010803,MF02 stepper motor own cable
437,GRG GSB,502010804,CRM9250 MF03Assy.(with cable)
438,GRG GSB,502010805,MF04 stepper motor own cable
439,GRG GSB,502010806,MF05 stepper motor own cable
440,GRG GSB,502010807,ME01 stepper motor own cable
441,GRG GSB,502010808,ME02 stepping motor
442,GRG GSB,502010809,ME03 stepper motor own cable
443,GRG GSB,502010810,SMHP step motor cable
444,GRG GSB,502010811,CRM9250 MF07 motor Assy.
445,GRG GSB,502011036,NE Entrance Guide-plate Component
446,GRG GSB,502011086,motor assy.
447,GRG GSB,502011088,RC1 Base board DC motor assy
448,GRG GSB,502011089,CRM9250 motor assemblyRC2
449,GRG GSB,502011090,RC3DC motor assy-RC3
